id,priority,family,semantic_partition,observed_occurrences,observed_shapes,status,required_oracle,notes
AM-01,P0,am,single mailbox inside agent Bash,24,9,covered-new,line attribution + exact Bash session + base preservation,Real Codex hooks and TestRepo traced am
AM-02,P0,am,multi-message mailbox every destination note,unbounded,unbounded,covered-new,note and exact session on every commit + final blame,Batched diff and note path
AM-03,P0,am,outside agent Bash negative control,unbounded,unbounded,covered-new,no AI session + unknown imported line,am alone is not AI evidence
AM-04,P0,am,--3way and --keep-cr,18,4,covered-new,line attribution + exact session,Covers dominant observed option mode
AM-05,P0,am,nonzero after successful prefix,unbounded,unbounded,covered-new,prefix notes + conflict state,Processes actual completed commits on exit 1
AM-06,P0,am,--continue,4,2,covered-new,resolved and remaining commit notes,Covers observed global user.name config form
AM-07,P0,am,--abort,10,1,covered-new,pre-am HEAD and working log restored,Abandoned tip working log is discarded
AM-08,P0,am,--skip and --quit,unbounded,unbounded,covered-new,only surviving commits retain notes,State-machine completeness
AM-09,P0,am,--show-current-patch and --help,3,3,covered-new,no completion wait or working-log delta,Inspection preserves HEAD and note; classifier covers help
AM-10,P0,am,-C / timeout / conditional wrappers,4,4,covered-new,same-repo Bash correlation,Parent-CWD explicit -C plus an actually executed conditional and timeout wrapper retain the exact Bash session
AM-11,P0,am,long-running open Bash call,unbounded,unbounded,covered-new,exact session after >3 seconds,Command-window matcher removes synthetic cap
AM-12,P0,am,early-added then later-deleted file,unbounded,unbounded,covered-new,early commit note remains AI,Proves no final-mtime dependency
AM-13,P0,am,malformed and incompatible options,1,1,covered-new,no commit or attribution mutation,Includes --3way plus --reject failure
AM-14,P0,am,simultaneous Bash call in another repo,unbounded,unbounded,covered-new,no cross-repo attribution stealing,Explicit discovered repo is authoritative over timing
COMMIT-01,P0,commit,normal staged commit,103887,707,covered-existing,exact line note and working-log carry,Strong simple additions coverage
COMMIT-02,P0,commit,--amend variants,6909,213,covered-existing,replaced and untouched attribution,Strong amend suite
COMMIT-03,P0,commit,pathspec --only and partial index,1287,34,covered-new,committed subset exact + residual working log,NUL pathspec-from-file supplements existing --only and partial-index carry coverage
COMMIT-04,P1,commit,-a fixup squash reuse allow-empty,928,71,covered-new,content provenance + graph + no-op semantics,Covers -a fixup squash -C -c reuse-message and empty-boundary carry
APPLY-01,P0,apply,worktree patch inside Bash,4116,136,covered-new,checkpoint then committed line attribution,Plain worktree apply is checkpointed and retains AI through a later commit
APPLY-02,P0,apply,--cached or --index then commit in same Bash,309,39,covered-new,AI attribution without worktree checkpoint,Pre-tool index tree prevents claiming pre-staged human lines even in the same file
APPLY-03,P1,apply,--3way reverse reject partial failure,113,13,covered-new,actual index/worktree state attribution,Three-way reverse partial reject and stdin patch forms run inside Codex Bash with exact committed-line oracles
APPLY-04,P2,apply,--check,765,90,covered-new,no state or attribution mutation,Successful check is read-only and failed check cannot leak provenance
RESTORE-01,P0,restore,worktree only,2168,68,covered-new,discarded/revealed line attribution,Discarded AI bytes cannot reappear when a human recreates identical content
RESTORE-02,P0,restore,--staged,902,18,covered-new,index-only preservation + later commit,Staged-only restore retains the AI worktree checkpoint through re-add and commit
RESTORE-03,P0,restore,--staged --worktree and conflict stages,411,25,covered-new,exact index/worktree attribution,Source copy NUL pathspec-file and real merge-stage ours/theirs selection retain exact source provenance and unrelated pending AI
CLEAN-01,P0,clean,-f explicit files,466,76,covered-new,deleted checkpoint removal + recreate negative,Explicit deletion and dry-run retention covered
CLEAN-02,P1,clean,-fd -fdx ignored directories,441,68,covered-new,no stale attribution after recreation,Ignored recreation race and pre-staged ignored-file preservation use command-start index tree
RESET-01,P0,reset,--hard backward/forward/no-op,2521,57,covered-existing,notes graph and working-log deletion,Strong hard-reset tests
RESET-02,P0,reset,--soft and mixed,2121,91,covered-existing,reconstructed staged/unstaged attribution,Strong current suite
RESET-03,P0,reset,--merge and --keep,33,2,covered-new,dirty conflict retention and graph,Real modes discard unwound provenance while carrying non-overlapping local AI work
RESET-04,P1,reset,pathspec index reset,165,12,covered-existing,target subset + untouched state,Current pathspec suite
REBASE-01,P0,rebase,linear and --onto rewrite,10986,unknown,covered-existing,every rewritten note + exact lines,Broad current suite
REBASE-02,P0,rebase,interactive reorder drop edit squash fixup,286,unknown,covered-existing,every surviving destination note,Broad current suite
REBASE-03,P0,rebase,conflict continue abort skip,4907,unknown,covered-new,phase state + resolution attribution,Attempt snapshot prevents skipped or aborted AI resolution from leaking into a later ordinary commit
REBASE-04,P1,rebase,--quit --update-refs rebase-merges refs,167,unknown,covered-new,all updated branch notes and working logs,Quit keeps live resolution; update-refs and rebase-merges move intermediate refs while preserving rewritten notes
CHERRY-01,P0,cherry-pick,single multi and range,2452,83,covered-existing,source provenance mapped to every destination,Strong current suite
CHERRY-02,P0,cherry-pick,conflict continue abort skip,546,unknown,covered-new,actual surviving commits and resolution lines,Attempt snapshot removes abandoned resolution provenance on abort/single skip; quit retains it
CHERRY-03,P1,cherry-pick,--no-commit,440,40,covered-existing,deferred commit preserves source and resolution,Current coverage
CHERRY-04,P1,cherry-pick,--quit stdin -x mainline empty policies,197,unknown,covered-new,state and source mapping,Multi-stdin patch-id fallback; single/multi -m; allow-empty and empty drop/keep; constant mainline spawn count
REVERT-01,P0,revert,single multi and revision expression,342,unknown,covered-existing,restored source attribution + every revert note,Current rewrite suite
REVERT-02,P1,revert,--no-commit conflict controls mainline,186,unknown,covered-new,deferred/surviving commit attribution,Single/multi no-commit; continue abort quit skip; -m 1 history fallback; constant spawn count verified
MERGE-01,P0,merge,fast-forward merge commit and conflict,5578,unknown,covered-new,source + resolution provenance,Multi-generation merge unignored; dirty working-log carry covered for FF and merge commits
MERGE-02,P0,merge,--squash then commit,49,unknown,covered-existing,squashed source mapping,Strong squash suite
MERGE-03,P0,merge,abandoned --squash via reset/checkout,unbounded,unbounded,covered-new,no source metadata leaks into later unrelated commit,Reset regression plus reset/checkout pending-state clearing
MERGE-04,P1,merge,--no-commit continue abort quit ff-only reject,2553,unknown,covered-new,phase state and exact surviving graph,Rollback snapshot distinguishes abort from quit; continue recognizes commit (merge) reflog entries
STASH-01,P0,stash,push pop apply named/default,12963,unknown,covered-existing,line attribution across branches and conflicts,Strong stash suite
STASH-02,P1,stash,keep-index staged patch all index,634,unknown,covered-new,index/worktree partition attribution,Tree-based stash/live partition covers keep-index staged two-hunk patch ignored files and apply --index in normal and linked worktrees
STASH-03,P1,stash,create store drop clear legacy save,838,unknown,covered-new,stack lifecycle and no attribution leak,Explicit create/store/clear semantics; store copies without consuming live provenance; targeted drop and clear delete compact state
CHECKOUT-01,P0,checkout,branch switch create reset detach,35500,unknown,covered-new,working-log migration and ref graph,-B detach orphan successful/failed track and existing branch migration all retain exact pending attribution
CHECKOUT-02,P0,checkout,path restore ours theirs force,11678,118,covered-new,discard/reveal exact line attribution,Conflict-stage ours/theirs select the correct human/AI source while unrelated pending AI survives; force and pathspec controls remain green
SWITCH-01,P1,switch,create reset detach orphan track,11385,112,covered-new,working-log migration and ref graph,-c -C detach orphan successful/failed track and force-discard semantics covered
